"pr152,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:200,mutation_rate:0.01,generations:1000,runtime:32.13973832130432"
Generation,Min Distance,Avg Distance
100,430853.23178845784,456070.611887055
200,349544.1347458967,376710.3034605252
300,319937.464791878,347458.8851242949
400,296639.0855015688,323134.58471833525
500,278313.0591422673,308864.55766324315
600,268638.49668651604,297575.75360154355
700,263449.7895583909,292825.8335533942
800,260023.3469564652,289001.07146427204
900,256896.57542053307,287967.66253862606
1000,255735.02859845507,286265.9627884979
