"pr152,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:50,mutation_rate:0.05,generations:1000,runtime:8.728616714477539"
Generation,Min Distance,Avg Distance
100,806960.3551693859,853078.0108388045
200,786751.1441398553,847882.9237170431
300,806604.8434454403,854380.9110491273
400,773472.6736749198,831482.435037108
500,750422.4229461628,827887.8473002235
600,792593.8836579784,855665.7723321011
700,770614.719448746,826479.2260840627
800,782064.1819704192,861918.3971165826
900,807549.1618057694,864296.2366193291
1000,803890.4279769254,849846.8217887429
