"rat99,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:50,mutation_rate:0.05,generations:2000,runtime:12.304907321929932"
Generation,Min Distance,Avg Distance
200,5415.958064001848,6144.412448284133
400,5474.977925193868,6202.601613282059
600,5757.33119595862,6306.331747078377
800,5809.476935740629,6420.03056334419
1000,5371.896222328521,6081.851285130995
1200,5541.569660662274,6168.738082270176
1400,5521.189841539061,6391.202413333735
1600,5634.28074432995,6305.369661861533
1800,5559.788366168822,6299.154381593655
2000,5494.044469305293,6116.139519211032
