"berlin52,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:100,mutation_rate:0.02,generations:2000,runtime:13.923565864562988"
Generation,Min Distance,Avg Distance
200,11011.31667257763,12145.054943896012
400,10502.164494505803,11823.102923203212
600,10502.164494505803,11887.382699308224
800,10502.164494505803,11981.728808217635
1000,10502.164494505803,11692.405063265323
1200,10502.164494505803,11812.13830001716
1400,10502.164494505803,12043.298268949377
1600,10502.164494505803,12105.407948430935
1800,10502.164494505803,11692.10325166299
2000,10502.164494505803,11885.329081852116
