"rat99,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:200,mutation_rate:0.01,generations:2000,runtime:43.795618295669556"
Generation,Min Distance,Avg Distance
200,2578.8173066378317,2768.3006447477
400,2102.4761415454605,2339.7451104431298
600,2004.3575870182049,2212.231152821744
800,1936.396895202848,2116.8795504681334
1000,1936.396895202848,2200.1324103938423
1200,1929.4620914827703,2212.154950463388
1400,1910.9891374173558,2132.5618423061437
1600,1900.165055194031,2141.6157793884436
1800,1888.8737081462837,2096.84398132931
2000,1888.5665748843307,2091.4201690632894
