"berlin52,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:100,mutation_rate:0.05,generations:1000,runtime:7.335344076156616"
Generation,Min Distance,Avg Distance
100,13340.947160854595,17020.246953879487
200,13768.825593805946,17517.140039622638
300,14490.928985863515,17692.761644151982
400,15362.014407285573,18278.239411261828
500,14277.152699511633,17639.136448112855
600,13090.406586661735,16832.974573328742
700,13607.986562599408,17312.470830252354
800,13698.751907976528,17190.33496603464
900,15145.011830967198,18072.476500688153
1000,14268.603595034752,17524.291631736472
