"rat99,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:50,mutation_rate:0.05,generations:1000,runtime:6.589061737060547"
Generation,Min Distance,Avg Distance
100,5870.790606488311,6379.814441880581
200,5549.860025888827,6343.195037646646
300,5453.248810248382,6143.320225201207
400,5704.430396320463,6333.696651595874
500,5464.7680642197465,6108.029434786185
600,5576.650314817463,6189.715238156016
700,5560.712563927887,6253.209974363999
800,5116.727211610646,6070.469479124385
900,5400.138950077371,6012.313258598107
1000,5338.770547076377,6004.833676920391
