"eil51,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:200,mutation_rate:0.05,generations:500,runtime:8.129280090332031"
Generation,Min Distance,Avg Distance
50,936.9859507806441,1088.5779571778519
100,855.2231305494229,1035.761308577542
150,821.9021241805666,1010.767572924376
200,810.8634312878787,1007.1836418869307
250,862.3442554028135,1040.8292127580442
300,811.233535536556,996.9288461483508
350,786.035658530415,994.6849749640925
400,756.7085719761832,970.7559384115152
450,785.7942603499974,965.1496469708111
500,775.6203686167996,991.9783270030237
